#  T(t-2),T(t-1),T(t),D(t-2),D(t-1),D(t),P(t+1)
29.60,29.30,30.00,6123.40,6261.00,6367.50,33.29
29.30,30.00,29.10,6261.00,6367.50,6351.40,34.64
30.00,29.10,29.80,6367.50,6351.40,6379.90,36.39
29.10,29.80,29.70,6351.40,6379.90,6409.80,32.21
29.80,29.70,30.10,6379.90,6409.80,6445.10,32.83
29.70,30.10,29.60,6409.80,6445.10,6462.30,41.79
30.10,29.60,29.90,6445.10,6462.30,6492.80,44.32
29.60,29.90,30.10,6462.30,6492.80,6528.30,44.95
29.00,28.60,28.40,6503.60,6467.90,6443.90,49.60
28.60,28.40,28.10,6467.90,6443.90,6451.30,41.53
28.40,28.10,27.40,6443.90,6451.30,6389.30,33.55
28.10,27.40,27.30,6451.30,6389.30,6218.00,28.99
27.40,27.30,26.80,6389.30,6218.00,6074.30,26.37
27.30,26.80,26.70,6218.00,6074.30,6078.20,25.60
26.80,26.70,26.20,6074.30,6078.20,6231.20,25.27
26.70,26.20,26.30,6078.20,6231.20,6178.00,24.18
26.20,26.30,25.50,6231.20,6178.00,5989.30,21.06
26.30,25.50,26.10,6178.00,5989.30,5875.80,19.33
25.50,26.10,25.70,5989.30,5875.80,5809.00,18.33
26.10,25.70,26.00,5875.80,5809.00,5605.10,34.47
25.70,26.00,26.10,5809.00,5605.10,5535.00,31.10
26.00,26.10,25.70,5605.10,5535.00,5402.30,31.07
26.10,25.70,25.30,5535.00,5402.30,5393.60,29.53
25.70,25.30,25.30,5402.30,5393.60,5135.30,26.69
25.30,25.30,25.70,5393.60,5135.30,4843.20,23.49
25.30,25.70,25.50,5135.30,4843.20,4675.40,25.36
25.70,25.50,24.40,4843.20,4675.40,4575.70,21.85
25.50,24.40,24.50,4675.40,4575.70,4452.80,17.69
24.40,24.50,24.30,4575.70,4452.80,4359.80,17.52
24.50,24.30,24.00,4452.80,4359.80,4318.40,17.75
24.30,24.00,23.80,4359.80,4318.40,4332.20,17.64
24.00,23.80,23.80,4318.40,4332.20,4316.30,17.79
23.80,23.80,23.70,4332.20,4316.30,4329.40,17.48
23.80,23.70,24.10,4316.30,4329.40,4409.40,18.83
23.70,24.10,25.10,4329.40,4409.40,4485.00,21.13
24.10,25.10,26.60,4409.40,4485.00,4623.30,20.81
25.10,26.60,27.50,4485.00,4623.30,4896.50,24.41
26.60,27.50,27.80,4623.30,4896.50,5216.90,19.00
27.50,27.80,28.80,4896.50,5216.90,5554.20,22.79
27.80,28.80,29.40,5216.90,5554.20,5856.10,29.30
28.80,29.40,29.40,5554.20,5856.10,6095.00,33.15
29.40,29.40,30.40,5856.10,6095.00,6342.40,33.17
29.40,30.40,29.80,6095.00,6342.40,6452.50,32.83
30.40,29.80,30.70,6342.40,6452.50,6545.10,31.51
29.80,30.70,30.50,6452.50,6545.10,6585.90,35.13
30.70,31.00,30.10,6589.30,6658.90,6694.10,48.79
28.80,28.50,28.30,6818.00,6729.50,6705.40,32.89
28.50,28.30,28.00,6729.50,6705.40,6589.00,30.16
28.30,28.00,27.70,6705.40,6589.00,6445.20,31.81
28.00,27.70,27.40,6589.00,6445.20,6480.30,31.86
27.70,27.40,27.40,6445.20,6480.30,6538.20,31.98
27.40,27.40,27.00,6480.30,6538.20,6517.30,30.42
27.40,27.00,27.20,6538.20,6517.30,6344.40,26.34
27.00,27.20,26.80,6517.30,6344.40,6183.60,25.08
27.20,26.80,26.60,6344.40,6183.60,6066.30,25.63
26.80,26.60,26.60,6183.60,6066.30,5862.20,41.14
26.60,26.60,26.40,6066.30,5862.20,5769.70,38.13
26.60,26.40,26.60,5862.20,5769.70,5606.70,42.96
26.40,26.60,26.30,5769.70,5606.70,5507.10,32.48
26.60,26.30,26.20,5606.70,5507.10,5230.40,27.17
26.30,26.20,26.20,5507.10,5230.40,4947.50,26.43
26.20,26.20,26.00,5230.40,4947.50,4812.20,27.44
26.20,26.00,26.30,4947.50,4812.20,4689.60,28.46
26.00,26.30,26.30,4812.20,4689.60,4620.60,25.12
26.30,26.30,26.10,4689.60,4620.60,4518.70,24.52
26.30,26.10,26.40,4620.60,4518.70,4499.20,19.36
26.10,26.40,26.40,4518.70,4499.20,4444.10,18.36
26.40,26.40,26.10,4499.20,4444.10,4431.90,19.35
26.40,26.10,25.90,4444.10,4431.90,4407.20,23.58
26.10,25.90,26.10,4431.90,4407.20,4444.30,26.41
25.90,26.10,26.40,4407.20,4444.30,4501.30,27.13
26.10,26.40,26.50,4444.30,4501.30,4647.80,25.86
26.40,26.50,27.80,4501.30,4647.80,4969.10,33.41
26.50,27.80,28.60,4647.80,4969.10,5264.10,22.93
